Wavelength(nm)	n	k
1990	1.49465	0
1995	1.49458	0
2000	1.4945	0
2005	1.49443	0
2010	1.49435	0
2015	1.49428	0
2020	1.4942	0
2025	1.49412	0
2030	1.49405	0
2035	1.49397	0
2040	1.49389	0
2045	1.49382	0
2050	1.49374	0
2055	1.49366	0
2060	1.49359	0
2065	1.49351	0
2070	1.49343	0
2075	1.49335	0
2080	1.49328	0
2085	1.4932	0
2090	1.49312	0
2095	1.49304	0
2100	1.49296	0
2105	1.49288	0
2110	1.4928	0
2115	1.49272	0
2120	1.49264	0
2125	1.49257	0
2130	1.49249	0
2135	1.49241	0
2140	1.49233	0
2145	1.49224	0
2150	1.49216	0
2155	1.49208	0
2160	1.492	0
2165	1.49192	0
2170	1.49184	0
2175	1.49176	0
2180	1.49168	0
2185	1.49159	0
2190	1.49151	0
2195	1.49143	0
2200	1.49135	0
2205	1.49126	0
2210	1.49118	0
2215	1.4911	0
2220	1.49102	0
2225	1.49093	0
2230	1.49085	0
2235	1.49076	0
2240	1.49068	0
2245	1.4906	0
2250	1.49051	0
2255	1.49043	0
2260	1.49034	0
2265	1.49026	0
2270	1.49017	0
2275	1.49009	0
2280	1.49	0
2285	1.48991	0
2290	1.48983	0
2295	1.48974	0
2300	1.48965	0
2305	1.48957	0
2310	1.48948	0
2315	1.48939	0
2320	1.48931	0
2325	1.48922	0
2330	1.48913	0
2335	1.48904	0
2340	1.48895	0
2345	1.48887	0
2350	1.48878	0
2355	1.48869	0
2360	1.4886	0
2365	1.48851	0
2370	1.48842	0
2375	1.48833	0
2380	1.48824	0
2385	1.48815	0
2390	1.48806	0
2395	1.48797	0
2400	1.48788	0
2405	1.48779	0
2410	1.4877	0
2415	1.48761	0
2420	1.48751	0
2425	1.48742	0
2430	1.48733	0
2435	1.48724	0
2440	1.48715	0
2445	1.48705	0
2450	1.48696	0
2455	1.48687	0
2460	1.48677	0
2465	1.48668	0
2470	1.48659	0
2475	1.48649	0
2480	1.4864	0
2485	1.4863	0
2490	1.48621	0
2495	1.48611	0
2500	1.48602	0
